"","064-EPL09_f_Mzb1_ESI.mzML","064-EPL10_m_Mzb1_ESI.mzML","064-EPL12_m_Mzb1_ESI.mzML","64Z-61023_f_WT_ESI.mzML","64Z-61024_f_WT_ESI.mzML","64Z-61025_f_WT_ESI.mzML"
"M57.08099T1428.04357",0.285749407994464,-0.662515142912999,-0.220363022367189,0.387428802337149,0.430062977315772,-0.220363022367189
"M57.23529T1428.16403",-0.453954661064867,1.20462072528436,0.391224047457895,-0.343018565673298,-0.314098966757258,-0.484772579246839
"M60.05099T863.22979",1.40659116819774,1.26422890262066,0.559858627115947,-3.85656258328202,0.0994545963285204,0.526429289019157
"M66.60549T1252.87050",0.263485606312245,0.219789044008547,-0.516075894429709,-0.642077723561608,-0.321371413961646,0.996250381632172
"M69.06955T482.38585",0.408535241036498,0.116828211386501,0.0455716445141693,-0.0482993767245738,-0.991697951566126,0.469062231353545
"M76.03927T247.48957",-0.529438887193544,0.157489393363744,1.17763704439588,0.04663164431369,-0.0402091461260569,-0.812110048753722
"M80.04937T147.18884",-0.194318856585205,-0.458920894560825,-0.265771610033745,-0.0787091833145272,-0.107287229087828,1.10500777358214
"M81.05278T147.21129",-1.11537066059368,0.0481961355379843,0.0481961355379843,-0.16881711422146,0.103949668896384,1.08384583484278
"M86.05998T109.16172",-0.275548473036813,-0.700391476578644,1.06759932912259,0.0603399074639605,0.0246421174414979,-0.176641404412608
"M87.04385T757.20666",0.528069743502922,-1.08105453776108,-0.402853647309016,0.0666196279208746,0.486736350625787,0.402482463020529
"M87.08067T879.07962",-1.97876168814812,0.328104161379367,0.141337072985936,1.00088202595556,0.732804595391249,-0.224366167563992
"M88.02139T214.15615",0.0375061384575583,1.63032783263175,2.13986005157324,-1.90961145097947,-1.39888006595885,-0.499202505724216
"M89.05961T146.00991",-0.536275304432939,-0.307103283149836,0.533377051463231,0.372086840049208,0.219050041690092,-0.281135345619732
"M89.05958T285.51652",-0.485394360475929,-0.593345815929377,0.465460012712508,0.514205647709729,0.489736680320826,-0.390662164337777
"M89.05958T342.61173",-0.7052250566354,-0.725747221421399,0.387168808750666,0.693915630544323,0.667011431187766,-0.31712359242597
"M89.05958T589.93258",0.699516907103165,0.237450514084148,0.413065918604089,-0.607663117143695,-0.633440028627661,-0.108930194020032
"M89.05972T218.76942",-0.531268447498099,-0.577453394426145,0.556414310458697,0.330488237102549,0.467203060891958,-0.245383766528966
"M90.06328T219.01865",-0.7538522166327,-1.15280198658725,0.500788496135455,0.37615110740361,0.687439838183819,0.342274761497075
"M91.05405T885.57485",-1.00731567511054,0.423602796138994,-0.468822511073345,0.591449977431438,0.290171492440453,0.170913920173018
"M91.05394T164.89535",0.387109438066134,-0.620160268373192,0.247046448979398,-0.190607980275662,-0.414223988704442,0.590836350307772
"M91.05424T234.29953",0.629264191235067,-1.19242244300024,0.818308672348718,0.229490297639388,-0.762679627549673,0.278038909326735
"M92.04978T122.91588",-0.318189181757928,0.391289422673509,-1.05185787881948,0.0931015378748156,0.117557307075144,0.768098792953939
"M95.06036T129.55412",-0.981415825702757,0.0366887004198792,0.766764114783898,-0.15107643166511,0.398633254090422,-0.0695938119263448
"M100.03950T123.30447",0.0653336910033645,-0.080012398352778,-0.213280798160772,-0.0643126327844394,-0.438458479761217,0.730730618055842
"M101.09591T882.76730",-1.81429689933457,0.565386351063099,0.83232051966903,-0.0457576902272406,0.314958031143596,0.147389687686076
"M101.10711T1125.21007",0.784991040069874,0.862526106458934,-2.49098616483192,0.0542875249651211,0.0932882086640083,0.695893284673975
"M102.04631T165.00555",-0.028040826462744,-0.46211309447908,0.362272192023462,-0.185924163526982,-0.275227894310607,0.589033786755951
"M102.04653T414.35348",0.966965195503817,0.414684883520011,0.771591491126001,-1.08702972556852,-1.32580715373159,0.259595309150284
"M103.05443T164.74497",0.229512446900799,-0.623931276439091,0.26304047961263,-0.16924184582411,-0.240644637422661,0.541264833172424
"M103.05453T414.50835",1.02750307090007,0.429436501346438,0.703573722169782,-1.052370900506,-1.1528029918142,0.0446605979039038
"M104.10712T165.02564",-0.333785457063652,1.66809545161854,-0.266797392610477,-0.431960395973529,-0.55492380209634,-0.0806284038745447
"M104.05783T414.12572",0.957121659519492,0.283197746857748,0.726930945582803,-1.02509589244986,-1.1756318735329,0.23347741402272
"M104.10726T97.27554",0.0330557347379336,0.830343948483108,-0.489333430068714,0.29314919500021,-0.0118957417367062,-0.655319706415818
"M105.03399T198.52010",1.51389576478425,-0.160833472979301,-0.104351098632969,-0.635569799800368,-0.67820093957915,0.0650595462075287
"M105.06993T1098.85260",-0.231452507225739,-0.371138192489294,0.537381100319251,0.338010380851561,-0.0329937537119148,-0.239807027743854
"M105.06992T994.47988",0.342184512104207,-0.440609090118935,-0.620959944054862,0.235188804369494,-0.0493499634331937,0.533545681133286
"M105.06974T864.23049",1.30715444605965,1.25244705117296,-2.6965237359937,1.2571145480706,1.57633142668418,-2.6965237359937
"M105.06999T370.53681",0.476116733349481,0.711617983081009,1.65014442765979,-1.03486661308625,-1.0932478771776,-0.709764653826419
"M106.03692T198.52010",1.55799740652434,-0.212377405564557,-0.0221170596522407,-0.651718484490382,-0.722248625832978,0.0504641690158117
"M106.06509T297.91585",-1.25088503449703,1.0970374693095,-0.399401033418801,0.628010572531795,0.626096840056565,-0.700858813982035
"M106.07324T369.75917",0.892502692726968,0.576868483854525,1.62035603619056,-1.59792303554464,-2.00944963359037,0.517645456362952
"M107.04930T822.02469",0.572801902752636,0.510941599053146,0.348946771519544,0.224598300938765,-0.0404168721034013,-1.61687170216069
"M107.04884T947.58597",0.699640171697443,-0.0644310198967455,-0.0784133152699139,-0.0872101476803621,-0.752339499867899,0.282753811017485
"M107.04870T1151.28902",-0.787728227024943,0.562061028315389,0.157312596450059,-0.223996306826015,0.157312596450059,0.13503831263545
"M108.04458T122.99498",-0.0748052281249942,0.230081633880968,-0.547448664834546,0.0283032677657332,-0.0748052281249942,0.438674219437833
"M108.05256T821.88962",0.630116942014083,0.481096501876671,0.363960486125449,0.324832233287844,0.146266103868017,-1.94627226717207
"M109.04802T122.99498",-0.324133389420801,0.313115007710956,-0.409989746034871,0.210632213657252,-0.129398758102199,0.339774672189673
"M109.07569T304.15584",-0.0614428918255614,0.246718444887316,1.50178543826253,-0.258551623750431,-0.328182728809061,-1.10032663876479
"M110.07117T108.13253",0.0538909013865965,1.15211969541518,0.421486196573635,-1.19339137947126,-0.286981353561579,-0.14712406034258
"M111.00800T1131.81973",0.708548494804042,0.618441869002117,0.598817242031618,-2.5753983351606,0.15051330005599,0.499077429266832
"M111.11712T482.22450",0.437317687801802,0.293504742828027,0.293504742828027,-0.184872172790038,-1.04158695918456,0.202131958516756
"M111.11700T1165.00152",0.359258016650877,0.162722753174745,-0.0490808305414326,-0.422188142365796,-0.594626731767479,0.543914934849086
"M112.05082T100.18535",0.341688119362081,0.524769574031472,0.208247159155327,-0.170898618433359,-0.451903117057773,-0.451903117057773
"M112.12022T482.19332",0.435459639913074,0.298239811724106,0.0813541461676085,-0.26600695461155,-0.855543897062761,0.306497253869519
"M112.08682T117.55301",-1.12417616824164,0.202868694230838,1.0065509472067,-0.208468742038249,0.626771304386671,-0.503546035544318
"M112.99989T882.18237",-0.543148249996638,0.928595003276889,-2.68105306923734,-0.99044833371998,1.2450082651768,2.04104638450026
"M113.04399T100.76570",0.772824263105063,1.37266016168731,-0.900767889099259,-0.670795558140365,0.0617433373108337,-0.635664314863577
"M113.05354T1110.89189",2.52581583987616,4.05738693162686,-1.64580069287576,-1.64580069287576,-1.64580069287576,-1.64580069287576
"M114.09145T287.42792",0.103524412096091,0.984852803535035,-0.403770409769213,-0.039804017341541,-0.658491005574648,0.0136882170542889
"M114.12773T591.56522",-0.335324453625036,1.24406415896882,1.3946591259794,-0.485682507188825,-0.523692963162789,-1.29402336097156
"M114.12765T396.50301",0.00107678157094272,0.90361920883538,0.645125613425404,-0.373606937692522,-0.371447583257706,-0.804767082881499
"M114.09127T198.64899",-1.46471008590626,1.15726613995663,1.4052490386076,0.342697270008069,-0.352586302985684,-1.08791605968034
"M115.03918T123.94965",-0.961278034478045,0.0546033942578045,0.280573000478307,0.193011072571186,-0.415148400703192,0.848238967873934
"M115.05438T233.27680",0.51775934584142,-0.575498223603295,-0.184252282000751,-0.0293149177035806,0.00181168596054342,0.269494391505654
"M115.13119T592.96638",0.0523043143559485,1.45072821520792,1.45858871481935,-1.1956373066381,-0.97916177166205,-0.786822166083059
"M115.11191T814.26962",0.408471988636511,0.319290105298906,0.171283250312323,-0.0344298044519817,-1.01997392945701,0.155358389661263
"M115.95969T110.18540",-0.718215582701342,1.02412144728274,0.107229370619292,-0.96572022609644,-1.09798335500738,1.65056834590315
"M116.10712T463.58189",0.60287745170024,-0.485947512685086,-0.474506724764916,-0.25097944636453,0.671899594520612,-0.0633433624063266
"M116.05784T233.77663",0.491454566877646,-2.00391152931833,0.129035899213353,0.571507129812135,0.44782244747781,0.364091485937389
"M117.05788T233.52671",0.535652011917422,-0.410052357192424,-0.0553785405430176,0.00627722138073878,0.0389425232214581,-0.115440858784177
